movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
moonspell-live-in-lyon,Not Available,Moonspell: Live in Lyon,en,01 - Breathe (Until We Are No More)  02 - Extinct  03 - Opium  04 - Awake  05 - The Last Of Us  06 - Funeral Bloom  07 - Malignia  08 - The Future Is Dark  09 - Vampiria  10 - Alma Mater  11 - Fullmoon,0.6,23-03-2015,60
mooz-lum,Not Available,Mooz-lum,en,"Thanks to a strict Muslim upbringing that largely shielded him from the outside world, Tariq's first year of college proves transformative. That is, until the 9/11 terrorist attacks invite growing suspicion and distrust from his angry classmates.",2.306,11-02-2011,95
mope,Not Available,Mope,en,"The tragic true story of best friends Steve Driver and Tom Dong, two low end porn actors who sought fame but gained infamy.",3.831,15-06-2019,105
moral-tales-filmic-issues,Not Available,"Moral Tales, Filmic Issues",en,A conversation between Eric Rohmer and Barbet Schroeder.,0.6,15-08-2006,84
morbid-stories,Horror,Morbid Stories,en,"When death is just the beginning, how important will it be to survive the end of times? Featuring 5 horrific tales from 5 up-and-coming indie filmmakers, Morbid Stories will become the latest horror anthology to die for this Halloween.",0.6,22-10-2019,78
mordraud,Not Available,Mordraud,en,"During a bloody siege, two brothers lined up in opposing factions hunt each others, dragged by the tragic memories of their childhood.",0.6,01-11-2013,23
more-blood,Not Available,More Blood!,en,"Have you ever wondered why you root for people to die in movies or why you laugh hysterically when you see someone's head explode? Why does society love watching this stuff? Inquiring minds want to know. In this documentary we take a look into why this is; to hopefully get a better understanding and to feel better about ourselves since we all love seeing this. ""More Blood!""",0.603,29-04-2018,82
more-brains-a-return-to-the-living-dead,Not Available,More Brains! A Return to the Living Dead,en,"Retrospective documentary about the making of the horror cult classic ""The Return of the Living Dead.""",4.765,18-10-2011,120
more-hate-than-fear,Not Available,More Hate Than Fear,en,"A graffiti artist in his early 20s, begins a 3½ year prison sentence for vandalism. He must attempt to cope with the struggles of his new life on the inside: sharing a cell with an aggressive murderer, being moved to high security, living 23 hours a day alone. An unlikely allay soon teaches him how to survive. Questions then begin to arise. Who can he trust? Will he ever find solace?",0.6,10-07-2015,15
more-human-than-human-2018,Not Available,More Human Than Human,en,"Stephen Hawking has warned that the creation of powerful artificial intelligence will be “either the best, or the worst thing, ever to happen to humanity”. Inspired by Brian Christian’s study The Most Human Human: What Artificial Intelligence Teaches Us About Being Alive, the filmmakers set out on an international investigation highlighting the effects of AI - scenes from our daily lives destructive and constructive.",1.303,10-03-2018,79
more-perfect-union,Not Available,More Perfect Union,en,"Hank, fresh off a fight with his girlfriend, travels for a weekend alone to a quaint bed and breakfast, only to inadvertently trigger a fight between the elderly couple who runs it.",0.6,01-01-2010,30
more-shoes,Not Available,More Shoes,en,"MORE SHOES, a documentary about my journey on foot from Madrid to Kiev.  A few years ago I was creatively adrift, looking to do something in film but unhappy with what I'd tried so far.  Then I happened upon Werner Herzog's comment that aspiring filmmakers shouldn't bother going to film school. Instead, he said, they should make a journey alone, on foot, for five thousand kilometers, ""let's say from Madrid to Kiev"". This journey, he claimed, would teach one the essential nature of cinema.  I decided to take Herzog's words literally and walk from Madrid to Kiev. MORE SHOES is the resultant filmed record of that journey. It's the story of who I met, what I saw, and how the whole experience changed me.  The film premiered at Slamdance 2008 and went on to play 25 festivals worldwide, winning ""Best Documentary"" honors at three of them.",0.6,12-06-2008,72
more-than-a-game,Not Available,More than a Game,en,This documentary follows NBA superstar LeBron James and four of his talented teammates through the trials and tribulations of high school basketball in Ohio and James' journey to fame.,4.591,06-09-2008,105
more-than-a-game-2011,Not Available,More Than A Game,en,"We will be following the progress of US Street Fighter champion Justin Wong and UK champion Ryan Hart as they spend their final month of preperation for the games, travelling to and participating in the tournament. We have unique access to the lifestyle of the pro-gamer, along with a glimpse at a growing cultural phenomenon that has grown almost ten-fold year on year.",1.723,03-05-2011,77
more-than-a-month,Not Available,More Than a Month,en,"More Than a Month is a feature documentary that follows 29-year old African American filmmaker, Shukree Hassan Tilghman on a cross-country campaign to end Black History Month.",0.6,02-02-2012,60
more-than-frybread,Not Available,More Than Frybread,en,"22 Arizona tribal representatives convene in Flagstaff, Arizona to compete for the first ever annual State of Arizona frybread championship.",0.671,03-02-2012,93
more-than-just-a-game,Not Available,More Than Just a Game,en,"A drama about political prisoners playing soccer at Robben Island prison, where Nelson Mandela was held.",0.84,22-11-2007,89
morgan,Not Available,Morgan,en,"Morgan is the inspiring story of Morgan Oliver, a gay young athlete determined that a bicycle accident that left him paralyzed will not change him. He takes a chance on love when he meets Dean Kagen on a basketball court. Dean helps Morgan train for the same race in which he had his accident. But when he sees that Morgan will risk everything to win, Dean walks out. Left alone to face the race and demons that caused his accident, Morgan teeters between what he needs and what he wants. Can he find the strength to pull himself back up again?",3.011,07-01-2012,89
morgan-2016,Not Available,Morgan,en,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,15.7,01-09-2016,92
moriyamachu-driving-school,Not Available,Moriyamachu Driving School,ja,"Kiyotaka Sato (Shuhei Nomura) is a university student. He is sociable, but he looks like he doesn't have interest in those around him. During his summer vacation, Kiyotaka Sato plans to get his driver's license to impress schoolmate Matsuda (Yukino Kishii).  At this time, a yakuza boss (Ken Mitsuishi) orders Todoroki (Kento Kaku) to get his driver’s license. Todoroki doesn't show his feelings outwardly.  Later, Todoroki drives a car without a driver’s license and he hits Kiyotaka Sato. To cover up the accident, Kiyotaka Sato is placed in a car and taken to away. He arrives at an unofficial driving school. The driving school is run by the Uehara family. There, Kiyotaka Sato and Todoroki learn that they graduated from the same high school. They spend their summer at the driving school.",1.493,09-07-2016,103
morning,Not Available,Morning,en,"Five days in the life of an American couple immediately following the accidental death of their child. An every day story of tragedy, loss, acceptance, hope and renewal. 'Morning' follows the divergent paths of Mark (Leland Orser) and Alice Munroe (Jeanne Tripplehorn) as they circle each other in a heart-breaking pas-de-deux of grief before finally coming to grips with their shared loss.",2.713,27-09-2013,95
